names	fmin	fmax	size	deltaf
Livingston_O1	10.0	10.0	40551.0	0.025000000000000355
Livingston_O2	10.0	10.0	31921.0	0.125
Livingston_O3a	10.0	10.0	31921.0	0.125
Livingston_O3b	10.0	10.0	39921.0	0.125
Hanford_O1	10.0	10.0	40551.0	0.025000000000000355
Hanford_O2	10.125	10.125	31920.0	0.125
Hanford_O3a	10.0	10.0	31921.0	0.125
Hanford_O3b	10.0	10.0	39921.0	0.125
Virgo_O2	10.0	10.0	7981.0	0.5
Virgo_O3a	10.0	10.0	7981.0	0.5
Virgo_O3b	0.0	0.0	20001.0	0.5
Kagra_25Mpc_O4	1.0	1.0	10000.0	0.4999499949994999
Kagra_130Mpc_O4	1.0	1.0	10000.0	0.4999499949994999
Virgo_260Mpc_O5	1.0	1.0	10000.0	0.4999499949994999
Virgo_150Mpc_O5	1.0	1.0	10000.0	0.4999499949994999
Virgo_120Mpc_O4	1.0	1.0	10000.0	0.4999499949994999
Virgo_90Mpc_O4	1.0	1.0	10000.0	0.4999499949994999
LIGO_O4	1.0	1.0	10000.0	0.4999499949994999
LIGO_O5	1.0	1.0	10000.0	0.4999499949994999
